,unique_customer_id,order_total_revenue,datetime,num_orders,latest_order,days_last_purchase,recency_score,frequency_score,monetary_score,rfm_code,fm_score
10,11,84.0,"[Timestamp('2024-07-04 00:00:00'), Timestamp('2024-03-14 00:00:00')]",2,2024-07-04,667,3,2,3,323,2.5
15,16,84.0,"[Timestamp('2024-07-02 00:00:00'), Timestamp('2024-05-05 00:00:00')]",2,2024-07-02,669,3,2,3,323,2.5
16,17,100.8,"[Timestamp('2024-07-02 00:00:00'), Timestamp('2024-03-06 00:00:00')]",2,2024-07-02,669,3,2,4,324,3.0
31,32,100.0,[Timestamp('2024-06-13 00:00:00')],1,2024-06-13,688,3,1,4,314,2.5
44,45,78.0,"[Timestamp('2024-06-05 00:00:00'), Timestamp('2024-01-08 00:00:00')]",2,2024-06-05,696,3,2,3,323,2.5
60,61,105.0,"[Timestamp('2024-05-28 00:00:00'), Timestamp('2024-08-29 00:00:00')]",2,2024-08-29,611,3,2,4,324,3.0
65,66,100.0,"[Timestamp('2024-05-26 00:00:00'), Timestamp('2024-09-03 00:00:00')]",2,2024-09-03,606,3,2,4,324,3.0
71,72,115.0,[Timestamp('2024-05-23 00:00:00')],1,2024-05-23,709,3,1,4,314,2.5
77,78,84.8,[Timestamp('2024-05-21 00:00:00')],1,2024-05-21,711,3,1,4,314,2.5
83,84,92.0,[Timestamp('2024-05-13 00:00:00')],1,2024-05-13,719,3,1,4,314,2.5
85,86,140.0,[Timestamp('2024-05-09 00:00:00')],1,2024-05-09,723,3,1,4,314,2.5
89,90,130.0,[Timestamp('2024-05-05 00:00:00')],1,2024-05-05,727,3,1,4,314,2.5
90,91,100.8,"[Timestamp('2024-05-05 00:00:00'), Timestamp('2024-02-23 00:00:00')]",2,2024-05-05,727,3,2,4,324,3.0
91,92,100.8,"[Timestamp('2024-05-05 00:00:00'), Timestamp('2024-02-23 00:00:00')]",2,2024-05-05,727,3,2,4,324,3.0
96,97,94.05,[Timestamp('2024-05-01 00:00:00')],1,2024-05-01,731,3,1,4,314,2.5
134,135,80.0,"[Timestamp('2024-03-20 00:00:00'), Timestamp('2024-02-20 00:00:00')]",2,2024-03-20,773,3,2,3,323,2.5
135,136,139.0,[Timestamp('2024-03-19 00:00:00')],1,2024-03-19,774,3,1,4,314,2.5
160,161,106.25,"[Timestamp('2024-03-02 00:00:00'), Timestamp('2022-07-14 00:00:00')]",2,2024-03-02,791,3,2,4,324,3.0
162,163,78.4,"[Timestamp('2024-03-01 00:00:00'), Timestamp('2024-02-13 00:00:00')]",2,2024-03-01,792,3,2,3,323,2.5
164,165,180.0,[Timestamp('2024-03-01 00:00:00')],1,2024-03-01,792,3,1,5,315,3.0
326,327,154.9,"[Timestamp('2023-06-21 00:00:00'), Timestamp('2024-08-18 00:00:00')]",2,2024-08-18,622,3,2,4,324,3.0
827,828,152.0,[Timestamp('2024-09-06 00:00:00')],1,2024-09-06,603,3,1,4,314,2.5
828,829,96.0,[Timestamp('2024-09-06 00:00:00')],1,2024-09-06,603,3,1,4,314,2.5
